tweet_id,favorites,retweets,user_followers,user_favourites,date_time
824663926340194305,10250,1704,9005670,145305,2017-01-26 17:02:56+00:00
824325613288833024,11543,10248,9005670,145305,2017-01-25 18:38:36+00:00
824297048279236611,14676,3716,9005670,145305,2017-01-25 16:45:05+00:00
824025158776213504,4713,580,9005670,145305,2017-01-24 22:44:42+00:00
823939628516474880,10386,2629,9005670,145305,2017-01-24 17:04:50+00:00
823719002937630720,0,10789,9005670,145305,2017-01-24 02:28:08+00:00
823699002998870016,13642,2433,9005670,145305,2017-01-24 01:08:40+00:00
823581115634085888,12693,2532,9005670,145305,2017-01-23 17:20:14+00:00
823333489516937216,686,22,9005670,145305,2017-01-23 00:56:15+00:00
823322678127919110,15347,3874,9005670,145305,2017-01-23 00:13:17+00:00
823269594223824897,0,9574,9005670,145305,2017-01-22 20:42:21+00:00
822975315408461824,16915,3329,9005670,145305,2017-01-22 01:12:59+00:00
822872901745569793,128226,41695,9005670,145305,2017-01-21 18:26:02+00:00
822859134160621569,12910,2195,9005670,145305,2017-01-21 17:31:20+00:00
822647212903690241,0,6184,9005670,145305,2017-01-21 03:29:14+00:00
822610361945911296,14442,2839,9005670,145305,2017-01-21 01:02:48+00:00
822489057087389700,17714,6185,9005334,145299,2017-01-20 17:00:46+00:00
822462944365645825,27210,13769,9005670,145305,2017-01-20 15:17:01+00:00
822244816520155136,34155,9574,9005670,145305,2017-01-20 00:50:15+00:00
822163064745328640,0,4584,9005670,145305,2017-01-19 19:25:24+00:00
821886076407029760,11046,2234,9005670,145305,2017-01-19 01:04:45+00:00
821813639212650496,0,3258,9005670,145305,2017-01-18 20:16:54+00:00
821765923262631936,8191,1611,9005670,145305,2017-01-18 17:07:18+00:00
821522889702862852,7849,1694,9005670,145305,2017-01-18 01:01:34+00:00
821421320206483457,0,5383,9005670,145305,2017-01-17 18:17:58+00:00
821407182352777218,11461,4175,9005670,145305,2017-01-17 17:21:47+00:00
821153421864615936,245,10,9005670,145305,2017-01-17 00:33:26+00:00
821149554670182400,8399,1889,9005670,145305,2017-01-17 00:18:04+00:00
821107785811234820,9383,2061,9005670,145305,2017-01-16 21:32:06+00:00
821044531881721856,12373,2207,9005670,145305,2017-01-16 17:20:45+00:00
820837357901512704,0,6498,9005670,145305,2017-01-16 03:37:31+00:00
820749716845686786,30841,9573,9005670,145305,2017-01-15 21:49:15+00:00
820690176645140481,11961,3132,9005670,145305,2017-01-15 17:52:40+00:00
820494788566847489,0,547,9005670,145305,2017-01-15 04:56:16+00:00
820446719150292993,0,2480,9005670,145305,2017-01-15 01:45:15+00:00
820314633777061888,3268,547,9005670,145305,2017-01-14 17:00:24+00:00
820078625395449857,19334,6085,9005670,145305,2017-01-14 01:22:35+00:00
820013781606658049,0,1135,9005670,145305,2017-01-13 21:04:55+00:00
819952236453363712,5199,1135,9005670,145305,2017-01-13 17:00:21+00:00
819924195358416896,12641,4722,9005670,145305,2017-01-13 15:08:56+00:00
819711362133872643,13056,3015,9005670,145305,2017-01-13 01:03:12+00:00
819588359383371776,9433,1938,9005670,145305,2017-01-12 16:54:26+00:00
819347104292290561,7062,1171,9005670,145305,2017-01-12 00:55:47+00:00
819238181065359361,2205,396,9005670,145305,2017-01-11 17:42:57+00:00
819227688460238848,22524,6498,9005671,145305,2017-01-11 17:01:16+00:00
819015337530290176,0,35923,9005671,145305,2017-01-11 02:57:27+00:00
819015331746349057,0,18494,9005671,145305,2017-01-11 02:57:26+00:00
819006400881917954,44385,18494,9005671,145305,2017-01-11 02:21:57+00:00
819004803107983360,85198,35923,9005671,145305,2017-01-11 02:15:36+00:00
818646164899774465,0,20294,9005671,145305,2017-01-10 02:30:30+00:00
818627210458333184,21922,7333,9005671,145305,2017-01-10 01:15:10+00:00
818614493328580609,9625,2449,9005671,145305,2017-01-10 00:24:38+00:00
818588835076603904,0,5934,9005671,145305,2017-01-09 22:42:41+00:00
818536468981415936,10600,2373,9005671,145305,2017-01-09 19:14:36+00:00
818307523543449600,0,7812,9005671,145305,2017-01-09 04:04:51+00:00
818259473185828864,10750,2186,9005671,145305,2017-01-09 00:53:55+00:00
818145370475810820,12017,2475,9005671,145305,2017-01-08 17:20:31+00:00
817908911860748288,4745,769,9005671,145305,2017-01-08 01:40:55+00:00
817827839487737858,50368,26251,9005671,145305,2017-01-07 20:18:46+00:00
817777686764523521,10531,2604,9005671,145305,2017-01-07 16:59:28+00:00
817536400337801217,11521,2855,9005671,145305,2017-01-07 01:00:41+00:00
817502432452313088,0,3290,9005671,145305,2017-01-06 22:45:43+00:00
817423860136083457,33025,14206,9005671,145305,2017-01-06 17:33:29+00:00
817415592588222464,5477,924,9005671,145305,2017-01-06 17:00:38+00:00
817181837579653120,0,8192,9005671,145305,2017-01-06 01:31:47+00:00
817171292965273600,8588,1963,9005671,145305,2017-01-06 00:49:53+00:00
817120970343411712,11942,2519,9005671,145305,2017-01-05 21:29:55+00:00
817056546584727552,8409,1590,9005671,145305,2017-01-05 17:13:55+00:00
816829038950027264,0,4568,9005671,145305,2017-01-05 02:09:53+00:00
816816676327063552,9785,1967,9005671,145305,2017-01-05 01:20:46+00:00
816697700272001025,9569,2132,9005671,145305,2017-01-04 17:27:59+00:00
816450570814898180,29713,7812,9005671,145305,2017-01-04 01:05:59+00:00
816336735214911488,8424,1886,9005671,145305,2017-01-03 17:33:39+00:00
816091915477250048,8755,2070,9005671,145305,2017-01-03 01:20:49+00:00
816062466425819140,0,984,9005671,145305,2017-01-02 23:23:48+00:00
816014286006976512,0,5097,9005671,145305,2017-01-02 20:12:21+00:00
815990720817401858,4839,984,9005671,145305,2017-01-02 18:38:42+00:00
815966073409433600,21900,8192,9005672,145305,2017-01-02 17:00:46+00:00
815745968457060357,0,4013,9005672,145305,2017-01-02 02:26:09+00:00
815736392542261248,9647,2208,9005672,145305,2017-01-02 01:48:06+00:00
815639385530101762,8048,1603,9005672,145305,2017-01-01 19:22:38+00:00
815390420867969024,10132,3703,9005672,145305,2017-01-01 02:53:20+00:00
814986499976527872,7495,1240,9005672,145305,2016-12-31 00:08:17+00:00
814638523311648768,11048,2628,9005672,145305,2016-12-30 01:05:33+00:00
814578408554463233,0,5674,9005672,145305,2016-12-29 21:06:41+00:00
814530161257443328,8469,1819,9005672,145305,2016-12-29 17:54:58+00:00
814153002265309185,28150,8424,9005672,145305,2016-12-28 16:56:16+00:00
813944609378369540,0,3099,9005672,145305,2016-12-28 03:08:11+00:00
813910438903693312,9120,1807,9005672,145305,2016-12-28 00:52:25+00:00
813812741911748608,35735,13592,9005672,145305,2016-12-27 18:24:12+00:00
813800681631023104,8155,1710,9005672,145305,2016-12-27 17:36:16+00:00
813217897535406080,18238,7106,9005672,145305,2016-12-26 03:00:30+00:00
813202720496779264,9064,1772,9005672,145305,2016-12-26 02:00:11+00:00
813187593374461952,19469,4225,9005672,145305,2016-12-26 01:00:05+00:00
813172488309972993,9089,1881,9005672,145305,2016-12-26 00:00:03+00:00
813157409116065792,7601,2143,9005672,145305,2016-12-25 23:00:08+00:00
813142292504645637,8333,2329,9005672,145305,2016-12-25 22:00:04+00:00
813130366689148928,4404,434,9005672,145305,2016-12-25 21:12:41+00:00
813127251579564032,11579,3027,9005672,145305,2016-12-25 21:00:18+00:00
813112105746448384,10108,2663,9005672,145305,2016-12-25 20:00:07+00:00
813096984823349248,10360,3532,9005672,145305,2016-12-25 19:00:02+00:00
813081950185472002,9715,2713,9005672,145305,2016-12-25 18:00:17+00:00
813066809284972545,7779,1898,9005672,145305,2016-12-25 17:00:08+00:00
813051746834595840,20554,7167,9005672,145305,2016-12-25 16:00:16+00:00
812781120811126785,7398,1852,9005672,145305,2016-12-24 22:04:54+00:00
812709060537683968,6499,1404,9005672,145305,2016-12-24 17:18:34+00:00
812503143955202048,5955,1190,9005672,145305,2016-12-24 03:40:19+00:00
812466873996607488,7823,1875,9005672,145305,2016-12-24 01:16:12+00:00
812372279581671427,13399,3567,9005673,145305,2016-12-23 19:00:19+00:00
811985624773361665,7127,1364,9005673,145305,2016-12-22 17:23:53+00:00
811744202451197953,7395,1548,9005673,145305,2016-12-22 01:24:33+00:00
811647686436880384,5501,718,9005673,145305,2016-12-21 19:01:02+00:00
811627233043480576,12493,2979,9005337,145299,2016-12-21 17:39:46+00:00
811386762094317568,20535,6223,9005673,145305,2016-12-21 01:44:13+00:00
810984652412424192,5209,1390,9005673,145305,2016-12-19 23:06:23+00:00
810896069567610880,8834,1715,9005673,145305,2016-12-19 17:14:23+00:00
810657578271330305,10753,2563,9005673,145305,2016-12-19 01:26:42+00:00
810284430598270976,34511,10948,9005673,145305,2016-12-18 00:43:57+00:00
810254108431155201,14442,3294,9005673,145305,2016-12-17 22:43:27+00:00
809920764300447744,15289,3837,9005673,145305,2016-12-17 00:38:52+00:00
809808892968534016,0,4778,9005673,145305,2016-12-16 17:14:20+00:00
809448704142938112,6832,1425,9005673,145305,2016-12-15 17:23:04+00:00
809220051211603969,19541,5456,9005673,145305,2016-12-15 02:14:29+00:00
809084759137812480,12991,3438,9005673,145305,2016-12-14 17:16:53+00:00
808838249661788160,9951,2970,9005673,145305,2016-12-14 00:57:20+00:00
808733504066486276,7756,2109,9005673,145305,2016-12-13 18:01:07+00:00
808501579447930884,11109,2544,9005673,145305,2016-12-13 02:39:32+00:00
808344865868283904,41678,20294,9005673,145305,2016-12-12 16:16:49+00:00
808134635716833280,0,5762,9005673,145305,2016-12-12 02:21:26+00:00
808106460588765185,8657,2151,9005673,145305,2016-12-12 00:29:28+00:00
808001312164028416,12291,3457,9005673,145305,2016-12-11 17:31:39+00:00
807621403335917568,14335,3526,9005672,145305,2016-12-10 16:22:02+00:00
807106840509214720,115799,53923,9005672,145305,2016-12-09 06:17:20+00:00
807059379405148160,0,7154,9005672,145305,2016-12-09 03:08:45+00:00
807010152071229440,12894,3781,9005672,145305,2016-12-08 23:53:08+00:00
806629075125202948,73158,33746,9005672,145305,2016-12-07 22:38:52+00:00
806620845233815552,0,5394,9005672,145305,2016-12-07 22:06:10+00:00
806576416489959424,4810,1913,9005672,145305,2016-12-07 19:09:37+00:00
806542213899489280,10040,2300,9005672,145305,2016-12-07 16:53:43+00:00
806242860592926720,0,11339,9005672,145305,2016-12-06 21:04:11+00:00
806219024703037440,6350,1168,9005672,145305,2016-12-06 19:29:28+00:00
805958939288408065,0,5233,9005672,145305,2016-12-06 02:15:59+00:00
805932879469572096,8169,1882,9005672,145305,2016-12-06 00:32:26+00:00
805826884734976000,6454,1778,9005672,145305,2016-12-05 17:31:15+00:00
805823200554876929,0,7808,9005672,145305,2016-12-05 17:16:37+00:00
805520635690676224,5654,1620,9005672,145305,2016-12-04 21:14:20+00:00
805487436403003392,8663,2472,9005672,145305,2016-12-04 19:02:24+00:00
805207613751304193,7709,1685,9005672,145305,2016-12-04 00:30:29+00:00
804738756058218496,13452,3737,9005672,145305,2016-12-02 17:27:25+00:00
804475857670639616,6032,1968,9005672,145305,2016-12-02 00:02:45+00:00
804413760345620481,0,3152,9005672,145305,2016-12-01 19:56:00+00:00
804026241225523202,43589,15721,9005672,145305,2016-11-30 18:16:08+00:00
803773340896923648,9886,2683,9005672,145305,2016-11-30 01:31:12+00:00
803692223237865472,0,7261,9005672,145305,2016-11-29 20:08:52+00:00
803638050916102144,10768,4056,9005672,145305,2016-11-29 16:33:36+00:00
803380650405482500,7639,1833,9005672,145305,2016-11-28 23:30:47+00:00
803321560782307329,0,5183,9005672,145305,2016-11-28 19:35:59+00:00
803276597545603072,9861,2403,9005672,145305,2016-11-28 16:37:19+00:00
802952499103731712,8875,1953,9005672,145305,2016-11-27 19:09:28+00:00
802624713319034886,0,2832,9005672,145305,2016-11-26 21:26:58+00:00
802600418706604034,6992,1421,9005672,145305,2016-11-26 19:50:26+00:00
802572683846291456,8812,2456,9005672,145305,2016-11-26 18:00:13+00:00
802323869084381190,15898,5711,9005672,145305,2016-11-26 01:31:31+00:00
802265048156610565,6825,1345,9005672,145305,2016-11-25 21:37:47+00:00
802239329049477120,8939,2566,9005672,145305,2016-11-25 19:55:35+00:00
802185808107208704,0,268,9005672,145305,2016-11-25 16:22:55+00:00
801958328846974976,7630,1674,9005672,145305,2016-11-25 01:18:59+00:00
801854953262350336,1767,234,9005672,145305,2016-11-24 18:28:13+00:00
801538201127157760,8088,2024,9005672,145305,2016-11-23 21:29:33+00:00
801285448605831168,5932,802,9005672,145305,2016-11-23 04:45:12+00:00
801167903437357056,23995,5762,9005672,145305,2016-11-22 20:58:07+00:00
801127390143516673,0,3865,9005672,145305,2016-11-22 18:17:08+00:00
801115127852503040,7937,2055,9005672,145305,2016-11-22 17:28:25+00:00
800859414831898624,678,96,9005672,145305,2016-11-22 00:32:18+00:00
800855607700029440,0,1566,9005672,145305,2016-11-22 00:17:10+00:00
800751577355128832,10399,2736,9005671,145305,2016-11-21 17:23:47+00:00
800513324630806528,12942,2929,9005671,145305,2016-11-21 01:37:04+00:00
800459316964663297,9350,2130,9005671,145305,2016-11-20 22:02:27+00:00
800443802682937345,0,4203,9005671,145305,2016-11-20 21:00:48+00:00
800388270626521089,10975,2745,9005671,145305,2016-11-20 17:20:08+00:00
800188575492947969,0,3845,9005671,145305,2016-11-20 04:06:37+00:00
800141422401830912,15004,2480,9005671,145305,2016-11-20 00:59:15+00:00
800018252395122689,27821,12824,9005671,145305,2016-11-19 16:49:49+00:00
799774291445383169,0,4553,9005671,145305,2016-11-19 00:40:24+00:00
799757965289017345,8234,2104,9005671,145305,2016-11-18 23:35:32+00:00
799422933579902976,7936,1883,9005671,145305,2016-11-18 01:24:14+00:00
799308762079035393,0,5328,9005671,145305,2016-11-17 17:50:33+00:00
799297110730567681,9710,2686,9005671,145305,2016-11-17 17:04:16+00:00
799063482566066176,7945,2428,9005671,145305,2016-11-17 01:35:54+00:00
798933969379225600,12834,4362,9005671,145305,2016-11-16 17:01:16+00:00
798925684722855936,7390,1413,9005671,145305,2016-11-16 16:28:21+00:00
798705661114773508,0,6497,9005671,145305,2016-11-16 01:54:03+00:00
798701998996647937,0,7582,9005671,145305,2016-11-16 01:39:30+00:00
798697898615730177,0,6378,9005671,145305,2016-11-16 01:23:12+00:00
798694562394996736,0,4845,9005671,145305,2016-11-16 01:09:57+00:00
798686750113755136,0,2271,9005671,145305,2016-11-16 00:38:54+00:00
798682547630837760,0,4641,9005671,145305,2016-11-16 00:22:12+00:00
798673117451325440,0,5444,9005671,145305,2016-11-15 23:44:44+00:00
798665375516884993,0,3828,9005671,145305,2016-11-15 23:13:58+00:00
798644042770751489,0,1805,9005671,145305,2016-11-15 21:49:12+00:00
798628517273620480,0,1934,9005671,145305,2016-11-15 20:47:30+00:00
798585098161549313,0,5535,9005671,145305,2016-11-15 17:54:59+00:00
798576900688019456,0,5712,9005671,145305,2016-11-15 17:22:24+00:00
798340744599797760,0,3258,9005671,145305,2016-11-15 01:44:00+00:00
798209839306514432,10250,2501,9005671,145305,2016-11-14 17:03:50+00:00
797971864723324932,11372,3034,9005671,145305,2016-11-14 01:18:12+00:00
797545162159308800,14313,4773,9005671,145305,2016-11-12 21:02:38+00:00
797236660651966464,19591,6413,9005671,145305,2016-11-12 00:36:46+00:00
797165961484890113,223,26,9005671,145305,2016-11-11 19:55:50+00:00
796904159865868288,0,8724,9005671,145305,2016-11-11 02:35:32+00:00
796865951799083009,7548,1886,9005671,145305,2016-11-11 00:03:42+00:00
796759840936919040,11608,2962,9005671,145305,2016-11-10 17:02:03+00:00
796563435802726400,0,7050,9005671,145305,2016-11-10 04:01:37+00:00
796484825502875648,7431,1714,9005671,145305,2016-11-09 22:49:15+00:00
796387464403357696,10818,4057,9005671,145305,2016-11-09 16:22:22+00:00
796177847564038144,0,13944,9005671,145305,2016-11-09 02:29:25+00:00
796149749086875649,31661,13944,9005671,145305,2016-11-09 00:37:46+00:00
796125600683540480,4891,1757,9005671,145305,2016-11-08 23:01:49+00:00
796116448414461957,8939,2349,9005671,145305,2016-11-08 22:25:27+00:00
796080075804475393,8320,2252,9005671,145305,2016-11-08 20:00:55+00:00
796031486298386433,10625,3644,9005671,145305,2016-11-08 16:47:50+00:00
795464331001561088,48588,22981,9005671,145305,2016-11-07 03:14:10+00:00
795400264262053889,9846,2794,9005671,145305,2016-11-06 22:59:35+00:00
795076730285391872,15912,5326,9005671,145305,2016-11-06 01:33:58+00:00
794983741416415232,0,3287,9005671,145305,2016-11-05 19:24:28+00:00
794926597468000259,10045,2260,9005671,145305,2016-11-05 15:37:24+00:00
794355576146903043,0,10042,9005671,145305,2016-11-04 01:48:22+00:00
794332329137291264,9440,2619,9005671,145305,2016-11-04 00:15:59+00:00
794205286408003585,9081,3249,9005671,145305,2016-11-03 15:51:10+00:00
793962221541933056,16521,4778,9005671,145305,2016-11-02 23:45:19+00:00
793845145112371200,9078,1812,9005671,145305,2016-11-02 16:00:06+00:00
793614319594401792,0,3061,9005671,145305,2016-11-02 00:42:53+00:00
793601777308463104,7837,1579,9005671,145305,2016-11-01 23:53:02+00:00
793500921481273345,10484,2323,9005671,145305,2016-11-01 17:12:16+00:00
793286476301799424,24150,8951,9005671,145305,2016-11-01 03:00:09+00:00
793271401113350145,8550,2343,9005671,145305,2016-11-01 02:00:14+00:00
793256262322548741,19642,8156,9005671,145305,2016-11-01 01:00:05+00:00
793241302385262592,10327,3224,9005671,145305,2016-11-01 00:00:38+00:00
793226087023144960,9639,2814,9005671,145305,2016-10-31 23:00:11+00:00
793210959003287553,8770,2728,9005671,145305,2016-10-31 22:00:04+00:00
793195938047070209,14984,5494,9005671,145305,2016-10-31 21:00:23+00:00
793180763617361921,6819,1950,9005671,145305,2016-10-31 20:00:05+00:00
793165685325201412,9219,2720,9005671,145305,2016-10-31 19:00:10+00:00
793150605191548928,6076,1657,9005671,145305,2016-10-31 18:00:14+00:00
793135492858580992,6293,2449,9005671,145305,2016-10-31 17:00:11+00:00
793120401413079041,12437,3819,9005671,145305,2016-10-31 16:00:13+00:00
792913359805018113,14048,3878,9005671,145305,2016-10-31 02:17:31+00:00
792883833364439040,11090,4163,9005671,145305,2016-10-31 00:20:11+00:00
792773781206999040,7226,1639,9005671,145305,2016-10-30 17:02:53+00:00
792394556390137856,13164,4201,9005671,145305,2016-10-29 15:55:58+00:00
792050063153438720,7017,1744,9005671,145305,2016-10-28 17:07:05+00:00
791821351946420224,0,20604,9005671,145305,2016-10-28 01:58:16+00:00
791784077045166082,0,9322,9005671,145305,2016-10-27 23:30:09+00:00
791780927877898241,0,3730,9005671,145305,2016-10-27 23:17:38+00:00
791774931465953280,44247,21635,9005671,145305,2016-10-27 22:53:48+00:00
791672322847637504,11544,3061,9005671,145305,2016-10-27 16:06:04+00:00
791406955684368384,12910,4013,9005671,145305,2016-10-26 22:31:36+00:00
791312159183634433,8607,2468,9005671,145305,2016-10-26 16:14:55+00:00
791026214425268224,0,3993,9005671,145305,2016-10-25 21:18:40+00:00
790987426131050500,9633,2080,9005671,145305,2016-10-25 18:44:32+00:00
790946055508652032,16375,4568,9005671,145305,2016-10-25 16:00:09+00:00
790723298204217344,0,2255,9005671,145305,2016-10-25 01:14:59+00:00
790698755171364864,8062,1878,9005671,145305,2016-10-24 23:37:28+00:00
790581949425475584,20261,6929,9005671,145305,2016-10-24 15:53:19+00:00
790337589677002753,7692,1848,9005671,145305,2016-10-23 23:42:19+00:00
790277117346975746,12323,3099,9005671,145305,2016-10-23 19:42:02+00:00
790227638568808452,0,3470,9005671,145305,2016-10-23 16:25:25+00:00
789986466051088384,9091,2255,9005671,145305,2016-10-23 00:27:05+00:00
789960241177853952,0,4001,9005671,145305,2016-10-22 22:42:52+00:00
789903600034189313,10159,4040,9005671,145305,2016-10-22 18:57:48+00:00
789628658055020548,7354,1724,9005671,145305,2016-10-22 00:45:17+00:00
789599242079838210,6615,1878,9005671,145305,2016-10-21 22:48:24+00:00
789530877013393408,11519,3287,9005671,145305,2016-10-21 18:16:44+00:00
789314372632018944,8473,2232,9005671,145305,2016-10-21 03:56:25+00:00
789280767834746880,0,4796,9005671,145305,2016-10-21 01:42:53+00:00
789268448748703744,8942,2555,9005671,145305,2016-10-21 00:53:56+00:00
789137962068021249,9530,2715,9005671,145305,2016-10-20 16:15:26+00:00
788908386943430656,26917,12175,9005671,145305,2016-10-20 01:03:11+00:00
788765914992902144,26819,10042,9005671,145305,2016-10-19 15:37:03+00:00
788552643979468800,0,6963,9005671,145305,2016-10-19 01:29:35+00:00
788412144018661376,15257,5134,9005671,145305,2016-10-18 16:11:17+00:00
788178268662984705,7101,2045,9005671,145305,2016-10-18 00:41:57+00:00
788150585577050112,5997,1251,9005671,145305,2016-10-17 22:51:57+00:00
788070120937619456,0,3356,9005671,145305,2016-10-17 17:32:13+00:00
788039637453406209,6008,1281,9005671,145305,2016-10-17 15:31:05+00:00
787810552592695296,8464,2975,9005671,145305,2016-10-17 00:20:47+00:00
787717603741622272,10072,2702,9005671,145305,2016-10-16 18:11:26+00:00
787397959788929025,10700,2782,9005671,145305,2016-10-15 21:01:17+00:00
787322443945877504,7644,1695,9005671,145305,2016-10-15 16:01:13+00:00
787111942498508800,0,6573,9005671,145305,2016-10-15 02:04:45+00:00
786963064373534720,26128,7773,9005671,145305,2016-10-14 16:13:10+00:00
786729988674449408,0,2377,9005671,145305,2016-10-14 00:47:00+00:00
786709082849828864,17940,5976,9005671,145305,2016-10-13 23:23:56+00:00
786664955043049472,10379,2469,9005671,145305,2016-10-13 20:28:35+00:00
786595970293370880,9295,3054,9005671,145305,2016-10-13 15:54:28+00:00
786363235746385920,10672,3379,9005671,145305,2016-10-13 00:29:39+00:00
786286427768250368,7811,2759,9005671,145305,2016-10-12 19:24:27+00:00
786233965241827333,14939,4584,9005671,145305,2016-10-12 15:55:59+00:00
786051337297522688,1397,153,9005671,145305,2016-10-12 03:50:17+00:00
786036967502913536,0,6799,9005671,145305,2016-10-12 02:53:11+00:00
